"id","Mobility.and.transportation","Imagery.and.GIS","Climate.and.environment","History.and.epistemology","Sustainability.risk.planning","Economic.geography","Development.territory.system.of.cities","Urban.dynamics","Statistics.and.modeling","Emotional.geography"
"328",5257,0,0,0,1,0,0,0,0,0,0
"329",5265,0,0.8,0,0,0,0,0,0,0.2,0
"330",5277,0,0,0,0,0,0,0.3333333333,0.6666666667,0,0
"331",5826,0,0,0,0,0,0,0,0.6,0.4,0
"332",5315,0,0,0,1,0,0,0,0,0,0
"333",5316,0,0,0,0.1428571429,0,0,0,0,0,0.8571428571
"334",5332,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
"335",5342,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
"336",5432,0,0,0,0.25,0,0,0.25,0.25,0.25,0
"337",5431,0,0.25,0,0.5,0,0,0,0,0.25,0
"338",5387,0,0.2,0,0.2,0.2,0,0,0.4,0,0
"339",5394,0,0,0,1,0,0,0,0,0,0
"340",5399,0,0,0,1,0,0,0,0,0,0
"341",5416,0,0,0,1,0,0,0,0,0,0
"342",5417,0,0.2,0,0.6,0,0,0,0,0,0.2
"343",5439,0,0,0,0,0.125,0.125,0.125,0.625,0,0
"344",5532,0.5,0.25,0,0,0,0,0,0.125,0.125,0
"345",5565,0.4,0,0,0,0,0.6,0,0,0,0
"346",5554,0,0,0,0,0,0,0,0,1,0
"347",5574,0.375,0,0,0,0,0.625,0,0,0,0
"348",17762,0.6666666667,0,0,0,0,0,0,0.1666666667,0,0.1666666667
"349",5591,0,0,0,0.3333333333,0,0.6666666667,0,0,0,0
"350",5607,0.1428571429,0,0,0,0,0,0,0.1428571429,0.7142857143,0
"351",5615,0,0,0,0.3333333333,0,0,0.1666666667,0.1666666667,0.3333333333,0
"352",6407,0,0.5,0,0,0,0,0,0,0.5,0
"353",6498,0,0,0,1,0,0,0,0,0,0
"354",5633,0,0.25,0,0.5,0,0,0.25,0,0,0
"355",15973,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,0,0
"356",6225,0,0,0,0,0,0,0,1,0,0
"357",7492,0,0,0,0,0,0.2857142857,0,0.5714285714,0,0.1428571429
"358",7722,0,0.6666666667,0.1666666667,0,0.1666666667,0,0,0,0,0
"359",7872,0,0.3333333333,0,0,0,0.5,0.1666666667,0,0,0
"360",8002,0,0.8,0,0,0,0,0,0,0.2,0
"361",8142,0,0,0,0,0.4,0,0.4,0.2,0,0
"362",8212,0,0.75,0,0,0,0,0,0,0.25,0
"363",8322,0,0.5,0,0,0.1666666667,0,0,0,0.3333333333,0
"364",8462,0,0.4,0,0,0,0,0,0,0.6,0
"365",12581,0,0.25,0,0.25,0,0,0,0.25,0,0.25
"366",8692,0,0,0,0,0,0,0,0,1,0
"367",8902,0,0,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
"368",8962,0,0,0,0,0,0,0.25,0.25,0.5,0
"369",9052,0,0,0,0,0,0,0,0,1,0
"370",9262,0.3333333333,0.1666666667,0.1666666667,0,0.1666666667,0,0,0,0.1666666667,0
"371",9272,0,1,0,0,0,0,0,0,0,0
"372",22341,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0
"373",22347,0,0,0,0,0.5,0.5,0,0,0,0
"374",11203,0,0,0,0,0.1111111111,0,0,0,0.8888888889,0
"375",11373,1,0,0,0,0,0,0,0,0,0
"376",10182,0,0,0,0.2,0,0,0,0.6,0.2,0
"377",24601,0,0,0,0.2,0,0,0,0.6,0.2,0
"378",11133,0,0,0,0,0.5,0,0,0.1666666667,0.3333333333,0
"379",10993,0.3333333333,0,0,0,0,0,0,0.3333333333,0.3333333333,0
"380",10913,0,0,0.1666666667,0,0.5,0,0.3333333333,0,0,0
"381",10461,0.1666666667,0.6666666667,0,0,0,0,0,0,0.1666666667,0
"382",10451,0.2,0.4,0,0,0.2,0,0.2,0,0,0
"383",11113,0,0,0,0.2857142857,0,0.2857142857,0.1428571429,0,0.2857142857,0
"384",11882,0,0,0,0,0.5,0,0,0.25,0.25,0
"385",12443,0,0,1,0,0,0,0,0,0,0
"386",12283,0.2,0,0,0.2,0,0,0.2,0.4,0,0
"387",12556,0,1,0,0,0,0,0,0,0,0
"388",12803,0,0.6,0,0,0,0,0,0,0.4,0
"389",13033,0,0.25,0,0.75,0,0,0,0,0,0
"390",13863,0,0,0,0,0,0.75,0.25,0,0,0
"391",14173,0,0,0,0.2,0,0,0,0,0.8,0
"392",15463,0,0.125,0,0.875,0,0,0,0,0,0
"393",21253,0,0,0,0.5,0,0,0.25,0.25,0,0
"394",16103,0.3333333333,0,0.1666666667,0,0,0,0,0,0.5,0
"395",16283,0.25,0.5,0,0,0,0,0,0,0.25,0
