"id","complex.systems","health","crime","statistics","remote.sensing","political.sciences","traffic.modeling","biology","cognitive.sciences","spatial.analysis","GIS","biogeography","environnment","economy","physical.geography"
"19",10993,0.625,0,0,0,0,0.1875,0,0.0625,0,0.0625,0,0,0,0.0625,0
"20",23052,0.0909090909090909,0,0,0,0.0303030303030303,0.363636363636364,0,0.0303030303030303,0,0,0,0.333333333333333,0,0.0909090909090909,0
"21",5387,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0
"22",4844,0.34375,0,0,0,0,0.03125,0.03125,0.125,0,0,0,0.09375,0.09375,0.28125,0
"23",25354,0.227272727272727,0,0,0,0,0.0454545454545455,0,0,0,0,0,0.454545454545455,0,0.136363636363636,0.136363636363636
"24",25773,0.186046511627907,0.13953488372093,0,0.0232558139534884,0.0697674418604651,0.255813953488372,0,0,0.0232558139534884,0.0232558139534884,0,0.0465116279069767,0.0697674418604651,0.0697674418604651,0.0232558139534884
"25",5494,0.166666666666667,0,0,0,0,0.333333333333333,0,0,0,0.25,0,0,0.166666666666667,0.0833333333333333,0
"26",2614,0.0769230769230769,0,0,0,0.0384615384615385,0.538461538461538,0,0,0.0384615384615385,0,0,0,0.115384615384615,0.153846153846154,0.0384615384615385
"27",26007,0.214285714285714,0,0,0,0,0.428571428571429,0,0,0,0.0714285714285714,0,0.0714285714285714,0,0,0.214285714285714
"28",22214,0.0357142857142857,0,0,0,0,0.607142857142857,0,0,0,0,0.0357142857142857,0,0.0714285714285714,0.214285714285714,0.0357142857142857
"29",4478,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143
"30",4019,0.0666666666666667,0,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0.266666666666667,0.266666666666667,0.133333333333333,0.133333333333333
"31",4460,0,0,0,0,0,0.4,0,0,0,0.1,0,0,0,0.4,0
"32",3977,0.25,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0
"33",25299,0.173913043478261,0,0,0,0,0.130434782608696,0,0,0,0.0869565217391304,0,0.304347826086957,0,0.0869565217391304,0.217391304347826
"34",25817,0.037037037037037,0.111111111111111,0,0,0,0.148148148148148,0,0,0,0.0740740740740741,0.0740740740740741,0.037037037037037,0.148148148148148,0.111111111111111,0.222222222222222
"35",26416,0.0526315789473684,0,0,0,0.0789473684210526,0.0263157894736842,0,0.0263157894736842,0,0.0263157894736842,0.0789473684210526,0.447368421052632,0,0.0789473684210526,0.131578947368421
"36",373,0.272727272727273,0.0454545454545455,0,0,0.0454545454545455,0.272727272727273,0.0454545454545455,0,0,0,0,0.136363636363636,0,0.136363636363636,0.0454545454545455
"37",5101,0,0,0,0,0,0.25,0,0,0,0,0.25,0.5,0,0,0
"38",23319,0.357142857142857,0.0714285714285714,0,0,0.0714285714285714,0.0714285714285714,0,0,0,0.0714285714285714,0,0.0714285714285714,0.142857142857143,0.142857142857143,0
"39",23745,0.153846153846154,0,0,0,0,0.307692307692308,0,0,0,0.0384615384615385,0,0,0.230769230769231,0.269230769230769,0
"40",22918,0.0714285714285714,0,0,0,0,0.357142857142857,0.0714285714285714,0,0,0,0,0.214285714285714,0.0714285714285714,0.142857142857143,0
"41",4325,0.166666666666667,0,0,0.166666666666667,0,0.5,0,0,0,0.166666666666667,0,0,0,0,0
"42",3273,0.3,0,0,0,0,0.1,0,0,0,0,0,0.233333333333333,0.1,0.0666666666666667,0.166666666666667
"43",4925,0.272727272727273,0,0,0,0,0.545454545454545,0,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909
